,Message,Timestamp,Value,Geometry
77,sailing filled stop,2019-03-12 03:49:37.388736,5000.0,POINT (4.25222222 52.11428333)
78,unloading start,2019-03-12 03:49:37.388736,5000.0,POINT (4.25222222 52.11428333)
79,unloading stop,2019-03-12 04:45:10.722070,0.0,POINT (4.25222222 52.11428333)
80,sailing empty start,2019-03-12 04:45:10.722070,0.0,POINT (4.25222222 52.11428333)
81,sailing empty stop,2019-03-12 05:16:36.371252,0.0,POINT (4.18055556 52.18664444)
82,sailing empty start,2019-03-12 05:16:36.371252,0.0,POINT (4.18055556 52.18664444)
83,sailing empty stop,2019-03-12 05:16:36.371252,0.0,POINT (4.18055556 52.18664444)
84,loading start,2019-03-12 05:16:36.371252,0.0,POINT (4.18055556 52.18664444)
85,loading stop,2019-03-12 06:12:09.704585,5000.0,POINT (4.18055556 52.18664444)
86,sailing filled start,2019-03-12 06:12:09.704585,5000.0,POINT (4.18055556 52.18664444)
87,sailing filled stop,2019-03-12 06:47:04.870344,5000.0,POINT (4.25222222 52.11428333)
88,sailing filled start,2019-03-12 06:47:04.870344,5000.0,POINT (4.25222222 52.11428333)
89,sailing filled stop,2019-03-12 06:47:04.870344,5000.0,POINT (4.25222222 52.11428333)
90,unloading start,2019-03-12 06:47:04.870344,5000.0,POINT (4.25222222 52.11428333)
91,unloading stop,2019-03-12 07:42:38.203677,0.0,POINT (4.25222222 52.11428333)
92,sailing empty start,2019-03-12 07:42:38.203677,0.0,POINT (4.25222222 52.11428333)
93,sailing empty stop,2019-03-12 08:14:03.852859,0.0,POINT (4.18055556 52.18664444)
94,sailing empty start,2019-03-12 08:14:03.852859,0.0,POINT (4.18055556 52.18664444)
95,sailing empty stop,2019-03-12 08:14:03.852859,0.0,POINT (4.18055556 52.18664444)
96,loading start,2019-03-12 08:14:03.852859,0.0,POINT (4.18055556 52.18664444)
97,loading stop,2019-03-12 09:09:37.186193,5000.0,POINT (4.18055556 52.18664444)
98,sailing filled start,2019-03-12 09:09:37.186193,5000.0,POINT (4.18055556 52.18664444)
99,sailing filled stop,2019-03-12 09:44:32.351951,5000.0,POINT (4.25222222 52.11428333)
100,sailing filled start,2019-03-12 09:44:32.351951,5000.0,POINT (4.25222222 52.11428333)
101,sailing filled stop,2019-03-12 09:44:32.351951,5000.0,POINT (4.25222222 52.11428333)
102,unloading start,2019-03-12 09:44:32.351951,5000.0,POINT (4.25222222 52.11428333)
103,unloading stop,2019-03-12 10:40:05.685284,0.0,POINT (4.25222222 52.11428333)
104,sailing empty start,2019-03-12 10:40:05.685284,0.0,POINT (4.25222222 52.11428333)
105,sailing empty stop,2019-03-12 11:11:31.334467,0.0,POINT (4.18055556 52.18664444)
106,sailing empty start,2019-03-12 11:11:31.334467,0.0,POINT (4.18055556 52.18664444)
107,sailing empty stop,2019-03-12 11:11:31.334467,0.0,POINT (4.18055556 52.18664444)
108,loading start,2019-03-12 11:11:31.334467,0.0,POINT (4.18055556 52.18664444)
109,loading stop,2019-03-12 12:07:04.667800,5000.0,POINT (4.18055556 52.18664444)
110,sailing filled start,2019-03-12 12:07:04.667800,5000.0,POINT (4.18055556 52.18664444)
111,sailing filled stop,2019-03-12 12:41:59.833559,5000.0,POINT (4.25222222 52.11428333)
