trip,ActivityID,ActivityName,ActivityClass,TimestampStart,TimestampStop,TimestampDt
1,c1d3a2b0-0700-47b3-9347-64f80d17419d,sailing empty: sailing empty Carrier C,MoveActivity,1970-01-01 00:00:00,1970-01-01 00:34:17,2057.0
2,c1d3a2b0-0700-47b3-9347-64f80d17419d,sailing empty: sailing empty Carrier C,MoveActivity,1970-01-01 02:24:31,1970-01-01 02:58:48,2057.0
3,c1d3a2b0-0700-47b3-9347-64f80d17419d,sailing empty: sailing empty Carrier C,MoveActivity,1970-01-01 07:16:11,1970-01-01 07:50:28,2057.0
1,800895e4-ad97-41fc-af9e-2c7dd6d1b991,loading: loading Carrier C,ShiftAmountActivity,1970-01-01 00:34:17,1970-01-01 01:15:57,2500.0
2,800895e4-ad97-41fc-af9e-2c7dd6d1b991,loading: loading Carrier C,ShiftAmountActivity,1970-01-01 05:25:57,1970-01-01 06:07:37,2500.0
3,800895e4-ad97-41fc-af9e-2c7dd6d1b991,loading: loading Carrier C,ShiftAmountActivity,1970-01-01 09:35:57,1970-01-01 10:17:37,2500.0
1,c3ba0354-0587-4b20-9781-7d65a2fd53a5,sailing full: sailing full Carrier C,MoveActivity,1970-01-01 01:15:57,1970-01-01 01:50:14,2057.0
2,c3ba0354-0587-4b20-9781-7d65a2fd53a5,sailing full: sailing full Carrier C,MoveActivity,1970-01-01 06:07:37,1970-01-01 06:41:54,2057.0
3,c3ba0354-0587-4b20-9781-7d65a2fd53a5,sailing full: sailing full Carrier C,MoveActivity,1970-01-01 10:17:37,1970-01-01 10:51:54,2057.0
1,27da1e92-73e9-4e1b-b2f7-fe8ab01f9777,unloading: unloading Carrier C,ShiftAmountActivity,1970-01-01 01:50:14,1970-01-01 02:24:31,2057.0
2,27da1e92-73e9-4e1b-b2f7-fe8ab01f9777,unloading: unloading Carrier C,ShiftAmountActivity,1970-01-01 06:41:54,1970-01-01 07:16:11,2057.0
3,27da1e92-73e9-4e1b-b2f7-fe8ab01f9777,unloading: unloading Carrier C,ShiftAmountActivity,1970-01-01 10:51:54,1970-01-01 11:26:11,2057.0
1,ee90456b-ce52-4a9d-8055-5e365abb7fbe,sequential_activity_subcycle:sequential_activity_subcycle Barge I,SequentialActivity,1970-01-01 00:00:00,1970-01-01 00:46:26,2786.0
2,ee90456b-ce52-4a9d-8055-5e365abb7fbe,sequential_activity_subcycle:sequential_activity_subcycle Barge I,SequentialActivity,1970-01-01 00:00:00,1970-01-01 04:02:37,14557.0
3,ee90456b-ce52-4a9d-8055-5e365abb7fbe,sequential_activity_subcycle:sequential_activity_subcycle Barge I,SequentialActivity,1970-01-01 00:46:26,1970-01-01 04:49:03,14557.0
4,ee90456b-ce52-4a9d-8055-5e365abb7fbe,sequential_activity_subcycle:sequential_activity_subcycle Barge I,SequentialActivity,1970-01-01 04:02:37,1970-01-01 05:35:29,5572.0
5,ee90456b-ce52-4a9d-8055-5e365abb7fbe,sequential_activity_subcycle:sequential_activity_subcycle Barge I,SequentialActivity,1970-01-01 04:49:03,1970-01-01 05:35:29,2786.0
6,ee90456b-ce52-4a9d-8055-5e365abb7fbe,sequential_activity_subcycle:sequential_activity_subcycle Barge I,SequentialActivity,1970-01-01 05:35:29,1970-01-01 06:21:55,2786.0
7,ee90456b-ce52-4a9d-8055-5e365abb7fbe,sequential_activity_subcycle:sequential_activity_subcycle Barge I,SequentialActivity,1970-01-01 05:35:29,1970-01-01 08:54:17,11928.0
8,ee90456b-ce52-4a9d-8055-5e365abb7fbe,sequential_activity_subcycle:sequential_activity_subcycle Barge I,SequentialActivity,1970-01-01 06:21:55,1970-01-01 09:40:43,11928.0
9,ee90456b-ce52-4a9d-8055-5e365abb7fbe,sequential_activity_subcycle:sequential_activity_subcycle Barge I,SequentialActivity,1970-01-01 08:54:17,1970-01-01 10:27:09,5572.0
10,ee90456b-ce52-4a9d-8055-5e365abb7fbe,sequential_activity_subcycle:sequential_activity_subcycle Barge I,SequentialActivity,1970-01-01 09:40:43,1970-01-01 10:27:09,2786.0
11,ee90456b-ce52-4a9d-8055-5e365abb7fbe,sequential_activity_subcycle:sequential_activity_subcycle Barge I,SequentialActivity,1970-01-01 10:27:09,1970-01-01 11:13:35,2786.0
12,ee90456b-ce52-4a9d-8055-5e365abb7fbe,sequential_activity_subcycle:sequential_activity_subcycle Barge I,SequentialActivity,1970-01-01 10:27:09,1970-01-01 13:45:57,11928.0
13,ee90456b-ce52-4a9d-8055-5e365abb7fbe,sequential_activity_subcycle:sequential_activity_subcycle Barge I,SequentialActivity,1970-01-01 11:13:35,1970-01-01 14:32:23,11928.0
14,ee90456b-ce52-4a9d-8055-5e365abb7fbe,sequential_activity_subcycle:sequential_activity_subcycle Barge I,SequentialActivity,1970-01-01 13:45:57,1970-01-01 15:18:49,5572.0
15,ee90456b-ce52-4a9d-8055-5e365abb7fbe,sequential_activity_subcycle:sequential_activity_subcycle Barge I,SequentialActivity,1970-01-01 14:32:23,1970-01-01 15:18:49,2786.0
1,a48bda16-054d-4f8a-ba1d-0c6fcbc17bb8,sailing empty: sailing empty Barge I,MoveActivity,1970-01-01 00:00:00,1970-01-01 00:46:26,2786.0
2,a48bda16-054d-4f8a-ba1d-0c6fcbc17bb8,sailing empty: sailing empty Barge I,MoveActivity,1970-01-01 05:35:29,1970-01-01 06:21:55,2786.0
3,a48bda16-054d-4f8a-ba1d-0c6fcbc17bb8,sailing empty: sailing empty Barge I,MoveActivity,1970-01-01 10:27:09,1970-01-01 11:13:35,2786.0
1,dab788ca-5433-4590-b9df-b1f31150e13d,loading: loading Barge I,ShiftAmountActivity,1970-01-01 03:20:57,1970-01-01 04:02:37,2500.0
2,dab788ca-5433-4590-b9df-b1f31150e13d,loading: loading Barge I,ShiftAmountActivity,1970-01-01 08:12:37,1970-01-01 08:54:17,2500.0
3,dab788ca-5433-4590-b9df-b1f31150e13d,loading: loading Barge I,ShiftAmountActivity,1970-01-01 13:04:17,1970-01-01 13:45:57,2500.0
1,49ac4dfc-1526-4274-ae10-23ef85757b87,sailing full: sailing full Barge I,MoveActivity,1970-01-01 04:02:37,1970-01-01 04:49:03,2786.0
2,49ac4dfc-1526-4274-ae10-23ef85757b87,sailing full: sailing full Barge I,MoveActivity,1970-01-01 08:54:17,1970-01-01 09:40:43,2786.0
3,49ac4dfc-1526-4274-ae10-23ef85757b87,sailing full: sailing full Barge I,MoveActivity,1970-01-01 13:45:57,1970-01-01 14:32:23,2786.0
1,b4691a8b-7c47-4999-b531-dddb640b5f4b,unloading: unloading Barge I,ShiftAmountActivity,1970-01-01 04:49:03,1970-01-01 05:35:29,2786.0
2,b4691a8b-7c47-4999-b531-dddb640b5f4b,unloading: unloading Barge I,ShiftAmountActivity,1970-01-01 09:40:43,1970-01-01 10:27:09,2786.0
3,b4691a8b-7c47-4999-b531-dddb640b5f4b,unloading: unloading Barge I,ShiftAmountActivity,1970-01-01 14:32:23,1970-01-01 15:18:49,2786.0
1,7b39cdf3-9080-4771-a6b0-4cae7f9c480e,sequential_activity_subcycle:sequential_activity_subcycle Barge II,SequentialActivity,1970-01-01 00:00:00,1970-01-01 00:37:26,2246.0
2,7b39cdf3-9080-4771-a6b0-4cae7f9c480e,sequential_activity_subcycle:sequential_activity_subcycle Barge II,SequentialActivity,1970-01-01 00:00:00,1970-01-01 01:57:37,7057.0
3,7b39cdf3-9080-4771-a6b0-4cae7f9c480e,sequential_activity_subcycle:sequential_activity_subcycle Barge II,SequentialActivity,1970-01-01 00:37:26,1970-01-01 02:35:03,7057.0
4,7b39cdf3-9080-4771-a6b0-4cae7f9c480e,sequential_activity_subcycle:sequential_activity_subcycle Barge II,SequentialActivity,1970-01-01 01:57:37,1970-01-01 03:12:29,4492.0
5,7b39cdf3-9080-4771-a6b0-4cae7f9c480e,sequential_activity_subcycle:sequential_activity_subcycle Barge II,SequentialActivity,1970-01-01 02:35:03,1970-01-01 03:12:29,2246.0
6,7b39cdf3-9080-4771-a6b0-4cae7f9c480e,sequential_activity_subcycle:sequential_activity_subcycle Barge II,SequentialActivity,1970-01-01 03:12:29,1970-01-01 03:49:55,2246.0
7,7b39cdf3-9080-4771-a6b0-4cae7f9c480e,sequential_activity_subcycle:sequential_activity_subcycle Barge II,SequentialActivity,1970-01-01 03:12:29,1970-01-01 06:49:17,13008.0
8,7b39cdf3-9080-4771-a6b0-4cae7f9c480e,sequential_activity_subcycle:sequential_activity_subcycle Barge II,SequentialActivity,1970-01-01 03:49:55,1970-01-01 07:26:43,13008.0
9,7b39cdf3-9080-4771-a6b0-4cae7f9c480e,sequential_activity_subcycle:sequential_activity_subcycle Barge II,SequentialActivity,1970-01-01 06:49:17,1970-01-01 08:04:09,4492.0
10,7b39cdf3-9080-4771-a6b0-4cae7f9c480e,sequential_activity_subcycle:sequential_activity_subcycle Barge II,SequentialActivity,1970-01-01 07:26:43,1970-01-01 08:04:09,2246.0
11,7b39cdf3-9080-4771-a6b0-4cae7f9c480e,sequential_activity_subcycle:sequential_activity_subcycle Barge II,SequentialActivity,1970-01-01 08:04:09,1970-01-01 08:41:35,2246.0
12,7b39cdf3-9080-4771-a6b0-4cae7f9c480e,sequential_activity_subcycle:sequential_activity_subcycle Barge II,SequentialActivity,1970-01-01 08:04:09,1970-01-01 11:40:57,13008.0
13,7b39cdf3-9080-4771-a6b0-4cae7f9c480e,sequential_activity_subcycle:sequential_activity_subcycle Barge II,SequentialActivity,1970-01-01 08:41:35,1970-01-01 12:18:23,13008.0
14,7b39cdf3-9080-4771-a6b0-4cae7f9c480e,sequential_activity_subcycle:sequential_activity_subcycle Barge II,SequentialActivity,1970-01-01 11:40:57,1970-01-01 12:55:49,4492.0
